od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Angkasapuri → Putra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
Angkasapuri → Rawang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Angkasapuri → Segambut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0
Angkasapuri → Senawang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angkasapuri → Sentul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angkasapuri → Serdang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Angkasapuri → Seremban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Angkasapuri → Serendah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Angkasapuri → Seri Setia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
Angkasapuri → Setia Jaya,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,6.0,268.0,19.0,5.0,62.0,23.0,0.0
Angkasapuri → Shah Alam,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,3.0,0.0,5.0,7.0,1.0,1.0,2.0,12.0,3.0,39.0,19.0,11.0,5.0,20.0,0.0
Angkasapuri → Subang Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,50.0,48.0,5.0,1.0,0.0,1.0,0.0
Angkasapuri → Sungai Buloh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0
Angkasapuri → Sungai Gadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Angkasapuri → Taman Wahyu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angkasapuri → Tanjong Malim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Angkasapuri → Telok Gadong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,20.0,158.0,4.0,0.0,0.0,0.0
Angkasapuri → Telok Pulai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,37.0,1.0,4.0,1.0,1.0
Angkasapuri → Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandar Tasek Selatan → Abdullah Hukum,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,8.0,9.0,9.0,18.0,2.0,6.0,8.0,8.0,7.0,5.0,8.0,3.0,1.0,0.0,2.0
Bandar Tasek Selatan → Angkasapuri,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,1.0,0.0,3.0,0.0
Bandar Tasek Selatan → Bandar Tasek Selatan,2.0,7.0,3.0,4.0,2.0,3.0,28.0,30.0,27.0,18.0,58.0,40.0,49.0,60.0,45.0,38.0,64.0,44.0,77.0,69.0,60.0,44.0,45.0,11.0
Bandar Tasek Selatan → Bangi,45.0,6.0,3.0,4.0,23.0,195.0,1067.0,1296.0,881.0,460.0,613.0,887.0,622.0,566.0,1318.0,1196.0,1336.0,1646.0,2970.0,6136.0,2333.0,1734.0,1059.0,491.0
Bandar Tasek Selatan → Bank Negara,0.0,0.0,0.0,0.0,0.0,3.0,64.0,112.0,220.0,47.0,39.0,33.0,41.0,37.0,23.0,29.0,26.0,37.0,24.0,12.0,11.0,20.0,5.0,5.0
Bandar Tasek Selatan → Batang Benar,67.0,3.0,5.0,4.0,12.0,70.0,442.0,350.0,286.0,474.0,220.0,415.0,431.0,349.0,637.0,776.0,635.0,1103.0,1614.0,2740.0,1360.0,972.0,463.0,389.0
Bandar Tasek Selatan → Batang Kali,3.0,0.0,0.0,0.0,2.0,20.0,62.0,24.0,54.0,34.0,27.0,22.0,28.0,49.0,52.0,45.0,60.0,70.0,82.0,65.0,56.0,51.0,24.0,11.0
Bandar Tasek Selatan → Batu Caves,143.0,53.0,44.0,17.0,34.0,246.0,1869.0,910.0,875.0,765.0,997.0,966.0,1088.0,979.0,929.0,987.0,943.0,888.0,980.0,960.0,882.0,695.0,467.0,321.0
Bandar Tasek Selatan → Batu Kentonmen,1.0,1.0,0.0,0.0,1.0,3.0,16.0,30.0,9.0,10.0,8.0,13.0,14.0,11.0,20.0,16.0,28.0,26.0,30.0,13.0,19.0,17.0,8.0,4.0
Bandar Tasek Selatan → Batu Tiga,0.0,0.0,0.0,0.0,0.0,3.0,4.0,14.0,6.0,6.0,4.0,6.0,4.0,5.0,14.0,17.0,29.0,19.0,62.0,38.0,20.0,21.0,12.0,1.0
Bandar Tasek Selatan → Bukit Badak,1.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,3.0,5.0,2.0,3.0,1.0,5.0,5.0,14.0,32.0,11.0,21.0,22.0,19.0,5.0,1.0
Bandar Tasek Selatan → Jalan Kastam,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,6.0,1.0,15.0,6.0,5.0,2.0,0.0
Bandar Tasek Selatan → Jalan Templer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Bandar Tasek Selatan → KL Sentral,19.0,5.0,1.0,4.0,16.0,252.0,2484.0,3847.0,2815.0,1907.0,2074.0,1671.0,2070.0,2034.0,2616.0,2348.0,2254.0,2543.0,2022.0,2131.0,1579.0,1082.0,708.0,284.0
Bandar Tasek Selatan → Kajang,13.0,13.0,2.0,4.0,12.0,230.0,1606.0,1866.0,1730.0,1123.0,544.0,1080.0,1192.0,1802.0,1675.0,1931.0,2153.0,3403.0,5762.0,3395.0,2440.0,2220.0,1367.0,607.0
Bandar Tasek Selatan → Kajang 2,6.0,1.0,0.0,4.0,4.0,37.0,334.0,345.0,361.0,97.0,215.0,200.0,242.0,363.0,391.0,454.0,474.0,607.0,1465.0,1303.0,857.0,712.0,357.0,174.0
