od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Arau → Kuala Kangsar,26.0,16.0,9.0,4.0,39.0,75.0,145.0,270.0,110.0,138.0,313.0,164.0,320.0,175.0,331.0,249.0,282.0,269.0,19.0,44.0,64.0,18.0,3.0,1.0
Arau → Nibong Tebal,30.0,15.0,5.0,7.0,23.0,225.0,143.0,366.0,93.0,204.0,309.0,157.0,401.0,172.0,463.0,269.0,373.0,369.0,111.0,102.0,10.0,10.0,1.0,1.0
Arau → Padang Besar,86.0,41.0,17.0,13.0,38.0,71.0,830.0,1387.0,2370.0,2669.0,1037.0,1494.0,1307.0,1579.0,900.0,1033.0,821.0,456.0,329.0,265.0,233.0,107.0,159.0,69.0
Arau → Padang Rengas,12.0,1.0,1.0,3.0,3.0,14.0,23.0,47.0,12.0,16.0,49.0,26.0,32.0,41.0,73.0,63.0,44.0,52.0,1.0,7.0,4.0,0.0,1.0,0.0
Arau → Parit Buntar,31.0,26.0,8.0,5.0,29.0,227.0,212.0,408.0,200.0,321.0,493.0,210.0,513.0,326.0,766.0,449.0,631.0,470.0,130.0,217.0,36.0,9.0,6.0,3.0
Arau → Penalty,0.0,0.0,0.0,0.0,0.0,0.0,58.0,19.0,4.0,0.0,18.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
Arau → Simpang Ampat,21.0,13.0,15.0,3.0,61.0,72.0,144.0,371.0,125.0,191.0,458.0,158.0,592.0,170.0,619.0,315.0,472.0,522.0,127.0,117.0,25.0,14.0,1.0,4.0
Arau → Sungai Petani,255.0,166.0,67.0,43.0,151.0,1441.0,4646.0,5058.0,3907.0,2157.0,4398.0,2339.0,5172.0,2642.0,5765.0,4830.0,6088.0,6305.0,6532.0,3580.0,1772.0,2426.0,217.0,216.0
Arau → Sungai Siput,13.0,7.0,4.0,2.0,12.0,56.0,59.0,122.0,59.0,46.0,152.0,74.0,138.0,48.0,159.0,108.0,120.0,99.0,20.0,22.0,36.0,21.0,2.0,0.0
Arau → Taiping,71.0,44.0,15.0,10.0,49.0,134.0,206.0,465.0,231.0,254.0,562.0,289.0,523.0,415.0,595.0,514.0,456.0,433.0,89.0,92.0,105.0,15.0,3.0,0.0
Arau → Tasek Gelugor,180.0,100.0,58.0,23.0,135.0,1518.0,2568.0,3634.0,2388.0,1437.0,2903.0,1288.0,3388.0,1494.0,4015.0,3149.0,4112.0,4090.0,3935.0,2684.0,1346.0,1879.0,18.0,305.0
Arau → Unknown,0.0,0.0,0.0,0.0,0.0,2.0,18.0,8.0,3.0,1.0,4.0,2.0,5.0,2.0,3.0,6.0,6.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0
Bagan Serai → Alor Setar,6.0,2.0,5.0,0.0,2.0,61.0,100.0,236.0,47.0,202.0,88.0,158.0,60.0,152.0,62.0,215.0,89.0,166.0,99.0,49.0,17.0,1.0,5.0,3.0
